regional key;city;area in km²;population
059780036036;Unna;88.56;58333.0
032520006006;Hameln;102.53;58244.0
053340032032;Stolberg (Rhld.);98.48;57684.0
053340012012;Eschweiler;75.75;57534.0
081190079079;Waiblingen;42.75;57313.0
120530000000;Frankfurt (Oder);147.85;57107.0
051620022022;Meerbusch;64.40;57078.0
034560015015;Nordhorn;149.86;56973.0
082110000000;Baden-Baden;140.19;56881.0
064340001001;Bad Homburg v. d. Höhe;51.14;56688.0
053820056056;Sankt Augustin;34.22;56521.0
034540032032;Lingen (Ems);176.19;56498.0
053620036036;Pulheim;72.15;56150.0
130750039039;Greifswald;50.81;56092.0
146260110110;Görlitz;67.53;55186.0
051580016016;Hilden;25.95;55157.0
065320023023;Wetzlar;75.65;54665.0
096620000000;Schweinfurt;35.70;54481.0
071330006006;Bad Kreuznach;55.56;54168.0
032410010010;Langenhagen;71.97;54142.0
130730088088;Stralsund;54.59;54094.0
057660008008;Bad Salzuflen;100.05;53958.0
059540016016;Hattingen;71.67;53044.0
092620000000;Passau;69.56;53039.0
051540036036;Kleve;97.76;53028.0
073160000000;Neustadt an der Weinstraße;117.09;52945.0
055700004004;Ahlen;123.13;52666.0
031580037037;Wolfenbüttel;78.74;52604.0
053620024024;Frechen;45.06;52309.0
059620040040;Menden (Sauerland);86.10;52255.0
055660028028;Ibbenbüren;108.87;51803.0
081150003003;Böblingen;39.04;51483.0
083365003050;Lörrach;39.37;51349.0
010560015015;Elmshorn;21.36;51342.0
053740012012;Gummersbach;95.41;51290.0
031570006006;Peine;119.84;50987.0
083175007065;Lahr/Schwarzwald;69.84;50775.0
082165005043;Rastatt;58.98;50741.0
084365005064;Ravensburg;92.05;50628.0
057700004004;Bad Oeynhausen;64.83;50620.0
081355002019;Heidenheim an der Brenz;107.09;50618.0
055540020020;Gronau (Westf.);78.82;50547.0
033520011011;Cuxhaven;161.93;49697.0
073180000000;Speyer;42.71;49564.0
081150028028;Leonberg;48.73;49480.0
051660036036;Willich;67.80;49413.0
034020000000;Emden;112.34;49202.0
059780004004;Bergkamen;44.90;49143.0
120650256256;Oranienburg;163.69;49122.0
092630000000;Straubing;67.59;49002.0
091780124124;Freising;88.59;48928.0
053340004004;Alsdorf;31.68;48810.0
053620020020;Erftstadt;119.89;48772.0
033590038038;Stade;110.07;48633.0
053340016016;Herzogenrath;33.38;48574.0
073130000000;Landau in der Pfalz;82.94;48209.0
